Nome,cpu total(%),cpus_nucleos,ram(%),disco(%),Quando foi Coletado,Rede recebida(Mbps),Rede enviada(Mbps),Frequencia de uso da CPU(MHz),Endereco MAC
Lucas,50.3,"[47.7, 47.5, 48.2, 61.2]",74.7,22.9,2026-08-21 14:23:16.357257,0.07,0.06,2195.07,34:68:95:df:a0:09
Lucas,41.1,"[38.9, 45.5, 35.0, 50.2]",74.9,22.9,2026-08-21 14:23:16.976058,0.28,0.12,2194.16,34:68:95:df:a0:09
Lucas,6.6,"[35.2, 27.1, 23.6, 24.1]",74.9,22.9,2026-08-21 14:23:23.360297,0.28,0.0,913.79,34:68:95:df:a0:09
Lucas,10.8,"[32.3, 21.5, 22.0, 20.5]",74.8,22.9,2026-08-21 14:23:23.978964,0.28,0.0,1001.15,34:68:95:df:a0:09
Lucas,21.8,"[20.1, 18.4, 19.4, 18.6]",72.7,22.9,2026-08-21 14:23:30.363290,0.02,0.01,876.2,34:68:95:df:a0:09
Lucas,25.7,"[19.8, 18.4, 19.4, 19.3]",72.5,22.9,2026-08-21 14:23:30.982045,0.04,0.03,848.07,34:68:95:df:a0:09
Lucas,7.6,"[15.2, 14.3, 14.5, 15.2]",72.5,22.9,2026-08-21 14:23:37.367412,0.01,0.0,798.14,34:68:95:df:a0:09
Lucas,12.6,"[16.0, 14.9, 14.2, 15.2]",72.8,22.9,2026-08-21 14:23:37.986355,0.02,0.0,798.24,34:68:95:df:a0:09
Lucas,7.9,"[15.2, 15.5, 15.3, 15.7]",72.9,22.9,2026-08-21 14:23:44.371956,0.04,0.04,798.25,34:68:95:df:a0:09
Lucas,12.5,"[15.0, 15.8, 15.5, 15.7]",73.0,22.9,2026-08-21 14:23:44.991518,0.06,0.06,798.18,34:68:95:df:a0:09
Lucas,17.4,"[24.6, 23.3, 25.5, 23.1]",73.1,22.9,2026-08-21 14:23:51.376110,0.07,0.0,2095.21,34:68:95:df:a0:09
Lucas,40.3,"[28.3, 26.3, 27.8, 26.5]",73.7,22.9,2026-08-21 14:23:58.379003,0.53,0.02,1521.91,34:68:95:df:a0:09
Lucas,44.0,"[30.8, 38.0, 34.0, 32.3]",74.0,22.9,2026-08-21 14:24:05.385079,0.05,0.04,2195.3,34:68:95:df:a0:09
Lucas,5.9,"[9.8, 10.4, 10.0, 10.5]",74.3,22.9,2026-08-21 14:24:12.392670,0.02,0.0,798.17,34:68:95:df:a0:09
Lucas,19.5,"[22.3, 24.7, 24.7, 27.0]",75.1,22.9,2026-08-21 14:24:19.396277,0.25,0.05,1889.69,34:68:95:df:a0:09
Lucas,12.3,"[17.6, 18.2, 20.6, 17.2]",75.1,22.9,2026-08-21 14:24:26.398768,0.28,0.09,2196.52,34:68:95:df:a0:09
Lucas,21.8,"[21.3, 23.2, 22.4, 22.5]",75.4,22.9,2026-08-21 14:24:33.400791,0.04,0.11,2195.66,34:68:95:df:a0:09
Lucas,8.8,"[15.2, 15.6, 16.2, 15.7]",73.6,22.9,2026-08-21 14:24:40.404395,0.02,0.02,798.19,34:68:95:df:a0:09
Lucas,10.2,"[17.1, 17.8, 16.8, 18.0]",74.0,22.9,2026-08-21 14:24:47.409135,0.06,0.05,1412.16,34:68:95:df:a0:09
Lucas,35.0,"[26.5, 22.9, 26.3, 23.1]",74.6,22.9,2026-08-21 14:24:54.413391,0.1,0.26,869.97,34:68:95:df:a0:09
Lucas,2.4,"[4.5, 5.1, 4.2, 4.2]",74.6,22.9,2026-08-21 14:25:01.417670,0.04,0.0,798.24,34:68:95:df:a0:09
Lucas,2.8,"[7.1, 9.0, 6.7, 6.9]",73.8,22.9,2026-08-21 14:25:08.422201,0.07,0.0,798.12,34:68:95:df:a0:09
Lucas,3.7,"[4.6, 3.9, 3.4, 2.5]",73.9,22.9,2026-08-21 14:25:15.426969,0.05,0.01,798.27,34:68:95:df:a0:09
Lucas,1.8,"[3.8, 1.7, 2.5, 2.2]",73.9,22.9,2026-08-21 14:25:22.431422,0.02,0.0,798.44,34:68:95:df:a0:09
Lucas,2.3,"[3.3, 3.3, 2.5, 2.9]",73.8,22.9,2026-08-21 14:25:29.435438,0.01,0.0,798.28,34:68:95:df:a0:09
Lucas,3.9,"[5.4, 2.9, 3.3, 3.6]",73.8,22.9,2026-08-21 14:25:36.440129,0.02,0.0,723.62,34:68:95:df:a0:09
Lucas,1.9,"[3.3, 4.2, 2.9, 2.7]",73.8,22.9,2026-08-21 14:25:43.444461,0.03,0.0,798.25,34:68:95:df:a0:09
Lucas,1.9,"[2.8, 3.4, 4.1, 5.2]",73.7,22.9,2026-08-21 14:25:50.449021,0.03,0.0,798.23,34:68:95:df:a0:09
Lucas,2.5,"[6.9, 5.1, 6.0, 4.3]",73.7,22.9,2026-08-21 14:25:57.452681,0.05,0.04,1771.24,34:68:95:df:a0:09
Lucas,6.8,"[9.2, 7.9, 10.0, 7.8]",73.2,22.9,2026-08-21 14:26:04.456408,0.1,0.0,798.12,34:68:95:df:a0:09
Lucas,3.4,"[3.9, 3.2, 3.1, 4.6]",73.1,22.9,2026-08-21 14:26:11.460934,0.23,0.0,649.09,34:68:95:df:a0:09
Lucas,1.9,"[3.3, 2.6, 4.4, 3.8]",73.1,22.9,2026-08-21 14:26:18.465362,0.04,0.0,723.74,34:68:95:df:a0:09
Lucas,8.5,"[5.2, 3.2, 4.2, 5.1]",73.4,22.9,2026-08-21 14:26:25.469761,0.13,0.0,723.94,34:68:95:df:a0:09
Lucas,3.5,"[5.5, 4.1, 4.4, 3.3]",73.7,22.9,2026-08-21 14:26:32.474277,0.1,0.07,798.25,34:68:95:df:a0:09
Lucas,5.3,"[7.9, 4.5, 4.7, 5.3]",73.8,22.9,2026-08-21 14:26:39.478203,0.15,0.12,797.96,34:68:95:df:a0:09
Lucas,2.9,"[3.5, 4.8, 5.4, 4.3]",73.5,22.9,2026-08-21 14:26:46.483958,0.03,0.05,952.26,34:68:95:df:a0:09
Lucas,12.7,"[5.4, 6.5, 8.6, 5.5]",73.7,22.9,2026-08-21 14:26:53.487789,0.04,0.11,2194.94,34:68:95:df:a0:09
Lucas,1.5,"[5.3, 4.5, 6.3, 4.1]",73.8,22.9,2026-08-21 14:27:00.492010,0.03,0.0,723.75,34:68:95:df:a0:09
Lucas,2.4,"[6.1, 2.6, 2.6, 3.5]",73.6,22.9,2026-08-21 14:27:07.495761,0.02,0.0,1466.89,34:68:95:df:a0:09
Lucas,1.5,"[2.0, 2.7, 2.6, 3.2]",73.6,22.9,2026-08-21 14:27:14.499394,0.04,0.0,723.68,34:68:95:df:a0:09
Lucas,9.0,"[4.3, 4.5, 6.0, 6.5]",73.3,22.9,2026-08-21 14:27:21.502965,0.11,0.0,1358.87,34:68:95:df:a0:09
Lucas,1.9,"[3.0, 3.6, 2.9, 2.5]",73.3,22.9,2026-08-21 14:27:28.506440,0.02,0.0,798.27,34:68:95:df:a0:09
Lucas,26.0,"[21.6, 19.8, 21.7, 18.6]",74.5,22.9,2026-08-21 14:30:19.173373,0.04,0.04,1919.95,34:68:95:df:a0:09
Lucas,27.1,"[21.5, 29.0, 22.3, 42.9]",75.6,22.9,2026-08-21 14:30:26.181331,0.06,0.17,1120.57,34:68:95:df:a0:09
Lucas,3.3,"[9.5, 11.9, 9.9, 14.1]",75.7,22.9,2026-08-21 14:30:33.185221,0.08,0.17,723.74,34:68:95:df:a0:09
Lucas,1.8,"[6.3, 6.5, 6.3, 6.1]",75.5,22.9,2026-08-21 14:30:40.189551,0.03,0.0,723.73,34:68:95:df:a0:09
Lucas,3.7,"[3.1, 2.3, 3.3, 4.0]",75.0,22.9,2026-08-21 14:30:47.194140,0.02,0.0,723.64,34:68:95:df:a0:09
Lucas,13.8,"[8.0, 8.8, 5.9, 7.1]",74.9,22.9,2026-08-21 14:30:54.198055,0.28,0.38,2194.98,34:68:95:df:a0:09
Lucas,5.6,"[5.5, 4.9, 4.2, 4.2]",74.8,22.9,2026-08-21 14:31:01.201671,0.02,0.0,1621.77,34:68:95:df:a0:09
Lucas,1.6,"[2.0, 2.3, 2.9, 2.9]",74.7,22.9,2026-08-21 14:31:08.205214,0.02,0.0,723.67,34:68:95:df:a0:09
Lucas,2.0,"[2.9, 3.2, 2.9, 2.9]",74.4,22.9,2026-08-21 14:31:15.209524,0.03,0.0,723.94,34:68:95:df:a0:09
Lucas,3.0,"[3.8, 4.2, 2.9, 4.2]",74.5,22.9,2026-08-21 14:31:22.214088,0.19,0.0,723.77,34:68:95:df:a0:09
Lucas,2.8,"[2.6, 4.2, 3.8, 3.2]",74.4,22.9,2026-08-21 14:31:29.218540,0.26,0.0,798.17,34:68:95:df:a0:09
Lucas,1.5,"[4.1, 4.5, 4.2, 4.5]",74.4,22.9,2026-08-21 14:31:36.222937,0.04,0.0,649.12,34:68:95:df:a0:09
Lucas,1.5,"[3.1, 3.6, 2.4, 3.2]",74.4,22.9,2026-08-21 14:31:43.227373,0.13,0.0,649.29,34:68:95:df:a0:09
Lucas,2.7,"[2.3, 2.2, 3.6, 3.3]",74.5,22.9,2026-08-21 14:31:50.231771,0.08,0.0,798.52,34:68:95:df:a0:09
Lucas,1.5,"[3.1, 2.0, 3.5, 1.7]",74.4,22.9,2026-08-21 14:31:57.236176,0.03,0.0,798.55,34:68:95:df:a0:09
Lucas,1.4,"[2.6, 2.9, 2.9, 3.2]",74.4,22.9,2026-08-21 14:32:04.240546,0.02,0.0,798.35,34:68:95:df:a0:09
Lucas,2.1,"[1.9, 2.6, 3.3, 2.5]",74.3,22.9,2026-08-21 14:32:11.244922,0.01,0.0,723.71,34:68:95:df:a0:09
Lucas,2.8,"[2.6, 3.5, 3.0, 2.5]",74.1,22.9,2026-08-21 14:32:18.249313,0.07,0.0,723.71,34:68:95:df:a0:09
Lucas,3.0,"[2.9, 3.0, 4.3, 2.5]",74.3,22.9,2026-08-21 14:32:25.253649,0.06,0.07,798.38,34:68:95:df:a0:09
Lucas,2.7,"[6.0, 5.8, 6.3, 7.5]",73.8,22.9,2026-08-21 14:32:32.258023,0.02,0.0,798.39,34:68:95:df:a0:09
Lucas,1.5,"[2.5, 3.2, 2.3, 1.7]",73.8,22.9,2026-08-21 14:32:39.262346,0.01,0.0,723.7,34:68:95:df:a0:09
Lucas,1.8,"[2.9, 2.5, 2.6, 2.3]",73.8,22.9,2026-08-21 14:32:46.266829,0.03,0.0,723.81,34:68:95:df:a0:09
Lucas,1.5,"[4.4, 2.6, 2.6, 2.7]",74.0,22.9,2026-08-21 14:32:53.271208,0.11,0.0,798.29,34:68:95:df:a0:09
Lucas,2.3,"[3.1, 3.0, 3.3, 2.4]",74.1,22.9,2026-08-21 14:33:00.275740,0.05,0.0,723.69,34:68:95:df:a0:09
Lucas,1.5,"[2.8, 3.2, 2.2, 3.8]",74.1,22.9,2026-08-21 14:33:07.280543,0.05,0.0,857.01,34:68:95:df:a0:09
Lucas,2.5,"[2.5, 3.3, 3.0, 3.5]",74.0,22.9,2026-08-21 14:33:14.284779,0.22,0.0,574.57,34:68:95:df:a0:09
Lucas,3.7,"[3.1, 4.6, 3.5, 3.3]",74.2,22.9,2026-08-21 14:33:21.289314,0.24,0.0,723.7,34:68:95:df:a0:09
Lucas,1.9,"[3.5, 3.6, 2.9, 4.8]",74.1,22.9,2026-08-21 14:33:28.293717,0.12,0.0,798.13,34:68:95:df:a0:09
Lucas,1.9,"[6.6, 4.5, 5.9, 3.8]",74.1,22.9,2026-08-21 14:33:35.298174,0.06,0.0,723.72,34:68:95:df:a0:09
Lucas,2.8,"[4.1, 3.5, 4.5, 2.6]",74.0,22.9,2026-08-21 14:33:42.302615,0.07,0.05,723.7,34:68:95:df:a0:09
Lucas,1.9,"[3.6, 3.7, 2.6, 2.2]",74.1,22.9,2026-08-21 14:33:49.307270,0.03,0.0,649.12,34:68:95:df:a0:09
Lucas,1.5,"[3.2, 2.9, 2.9, 3.0]",74.1,22.9,2026-08-21 14:33:56.311771,0.02,0.0,649.0,34:68:95:df:a0:09
Lucas,2.5,"[4.5, 2.5, 5.5, 4.6]",74.1,22.9,2026-08-21 14:34:03.316287,0.2,0.0,649.11,34:68:95:df:a0:09
Lucas,2.4,"[4.8, 8.2, 5.8, 4.8]",73.8,22.9,2026-08-21 14:34:10.320847,0.22,0.03,574.55,34:68:95:df:a0:09
Lucas,3.2,"[4.4, 2.5, 6.1, 2.6]",73.8,22.9,2026-08-21 14:34:17.325559,0.02,0.0,723.87,34:68:95:df:a0:09
Lucas,2.3,"[3.9, 3.6, 3.3, 3.0]",73.9,22.9,2026-08-21 14:34:24.330065,0.2,0.0,723.66,34:68:95:df:a0:09
Lucas,8.1,"[5.3, 4.8, 5.0, 4.9]",73.9,22.9,2026-08-21 14:34:31.334530,0.25,0.04,723.68,34:68:95:df:a0:09
Lucas,1.9,"[2.8, 2.9, 3.0, 2.0]",73.9,22.9,2026-08-21 14:34:38.339145,0.08,0.0,798.2,34:68:95:df:a0:09
Lucas,1.6,"[2.8, 2.9, 3.2, 1.7]",74.0,22.9,2026-08-21 14:34:45.343555,0.03,0.0,574.51,34:68:95:df:a0:09
Lucas,2.2,"[2.6, 2.2, 4.6, 3.0]",74.2,22.9,2026-08-21 14:34:52.348161,0.03,0.0,723.8,34:68:95:df:a0:09
Lucas,1.6,"[2.2, 2.6, 2.5, 1.7]",74.1,22.9,2026-08-21 14:34:59.352523,0.36,0.03,723.69,34:68:95:df:a0:09
Lucas,1.6,"[6.3, 6.1, 4.3, 5.5]",73.9,22.9,2026-08-21 14:35:06.357076,0.03,0.0,723.8,34:68:95:df:a0:09
Lucas,2.0,"[2.9, 2.9, 2.7, 2.7]",73.9,22.9,2026-08-21 14:35:13.361545,0.06,0.01,649.27,34:68:95:df:a0:09
Lucas,5.1,"[4.3, 4.9, 5.2, 3.5]",74.1,22.9,2026-08-21 14:35:20.366022,0.25,0.01,798.12,34:68:95:df:a0:09
Lucas,3.3,"[3.8, 4.9, 3.3, 3.9]",74.1,22.9,2026-08-21 14:35:27.370486,0.05,0.07,723.72,34:68:95:df:a0:09
Lucas,1.5,"[4.4, 5.5, 5.9, 5.8]",74.0,22.9,2026-08-21 14:35:34.375056,0.03,0.0,723.83,34:68:95:df:a0:09
Lucas,3.5,"[2.6, 3.3, 3.9, 1.9]",74.0,22.9,2026-08-21 14:35:41.379567,0.19,0.0,723.7,34:68:95:df:a0:09
Lucas,3.0,"[4.2, 2.0, 2.3, 1.6]",73.9,22.9,2026-08-21 14:35:48.384170,0.04,0.0,723.73,34:68:95:df:a0:09
Lucas,2.9,"[3.9, 2.2, 3.5, 3.0]",74.1,22.9,2026-08-21 14:35:55.388537,0.03,0.0,798.25,34:68:95:df:a0:09
Lucas,1.8,"[2.3, 3.6, 3.0, 2.6]",74.1,22.9,2026-08-21 14:36:02.393042,0.03,0.0,723.67,34:68:95:df:a0:09
Lucas,1.4,"[2.9, 3.5, 2.6, 2.3]",74.0,22.9,2026-08-21 14:36:09.397408,0.02,0.0,574.53,34:68:95:df:a0:09
Lucas,1.5,"[2.5, 3.5, 3.2, 1.7]",73.9,22.9,2026-08-21 14:36:16.402025,0.05,0.0,723.65,34:68:95:df:a0:09
Lucas,1.4,"[5.8, 3.6, 3.7, 2.3]",74.0,22.9,2026-08-21 14:36:23.406471,0.05,0.0,723.82,34:68:95:df:a0:09
Lucas,7.5,"[5.3, 4.8, 4.3, 4.3]",73.9,22.9,2026-08-21 14:36:30.410826,0.07,0.15,798.25,34:68:95:df:a0:09
Lucas,2.5,"[4.4, 3.2, 2.9, 4.2]",74.1,22.9,2026-08-21 14:36:37.415322,0.05,0.01,574.54,34:68:95:df:a0:09
Lucas,2.2,"[2.3, 3.0, 2.5, 2.7]",74.1,22.9,2026-08-21 14:36:44.419738,0.13,0.0,649.11,34:68:95:df:a0:09
Lucas,5.6,"[8.5, 9.8, 5.2, 11.5]",73.9,22.9,2026-08-21 14:36:51.424329,0.62,0.0,798.48,34:68:95:df:a0:09
Lucas,1.9,"[2.5, 1.7, 2.6, 2.2]",73.9,22.9,2026-08-21 14:36:58.428686,0.06,0.02,723.69,34:68:95:df:a0:09
